epoch,binary_accuracy,loss
0,0.885993480682373,0.9305469393730164
1,0.8892508149147034,0.6770099401473999
2,0.8843648433685303,0.6210930943489075
3,0.8843648433685303,0.5059689879417419
4,0.9006514549255371,0.4345155358314514
5,0.9039087891578674,0.37269851565361023
6,0.9071661233901978,0.40857288241386414
7,0.8892508149147034,0.379075825214386
8,0.9234527945518494,0.3344360888004303
9,0.8941367864608765,0.37048500776290894
10,0.9104234576225281,0.3468111455440521
11,0.9104234576225281,0.38132044672966003
12,0.8973941206932068,0.2848065495491028
13,0.9087947607040405,0.34773367643356323
14,0.9120520949363708,0.28135398030281067
15,0.905537486076355,0.3125918507575989
16,0.9136807918548584,0.32028526067733765
17,0.9120520949363708,0.29198524355888367
18,0.9283387660980225,0.23561133444309235
19,0.9332247376441956,0.2751986086368561
20,0.9120520949363708,0.3051929175853729
21,0.920195460319519,0.24044130742549896
22,0.9315961003303528,0.2226535975933075
23,0.9185667634010315,0.2748185694217682
24,0.9185667634010315,0.24032175540924072
25,0.9218240976333618,0.23917533457279205
26,0.9218240976333618,0.23098133504390717
27,0.9087947607040405,0.2695484459400177
28,0.9315961003303528,0.2502954304218292
29,0.9348534345626831,0.20730075240135193
30,0.9299674034118652,0.19728586077690125
31,0.9299674034118652,0.2102658897638321
32,0.9283387660980225,0.2696065604686737
33,0.9250814318656921,0.21422375738620758
34,0.9429967403411865,0.17991945147514343
35,0.9234527945518494,0.21685530245304108
36,0.9364820718765259,0.21270261704921722
37,0.9332247376441956,0.20414797961711884
38,0.9283387660980225,0.2332371473312378
39,0.9413681030273438,0.17742517590522766
40,0.9429967403411865,0.21999716758728027
41,0.9348534345626831,0.16828793287277222
42,0.9299674034118652,0.23198461532592773
43,0.9462540745735168,0.16793647408485413
44,0.9299674034118652,0.2123842090368271
45,0.9348534345626831,0.20917625725269318
46,0.9397394061088562,0.19269609451293945
47,0.9299674034118652,0.21603070199489594
48,0.9527687430381775,0.1515405923128128
49,0.9446253776550293,0.1559937745332718
50,0.9446253776550293,0.17881722748279572
51,0.9364820718765259,0.14861667156219482
52,0.9283387660980225,0.19728608429431915
53,0.9462540745735168,0.162285715341568
54,0.9250814318656921,0.24250055849552155
55,0.9429967403411865,0.18957966566085815
56,0.9478827118873596,0.16178810596466064
57,0.9495114088058472,0.1263834685087204
58,0.9348534345626831,0.19235859811306
59,0.9462540745735168,0.13048097491264343
60,0.9527687430381775,0.12450243532657623
61,0.9429967403411865,0.15992359817028046
62,0.9413681030273438,0.1574617326259613
63,0.9348534345626831,0.1780279129743576
64,0.9511400461196899,0.11771520972251892
65,0.9462540745735168,0.1610672026872635
66,0.9478827118873596,0.14314217865467072
67,0.9511400461196899,0.1336798518896103
68,0.9299674034118652,0.20906613767147064
69,0.9413681030273438,0.14257283508777618
70,0.9283387660980225,0.164633110165596
71,0.9478827118873596,0.17753809690475464
72,0.9625407457351685,0.11348389834165573
73,0.9364820718765259,0.18063119053840637
74,0.9527687430381775,0.13447238504886627
75,0.9543973803520203,0.12964224815368652
76,0.9592834115028381,0.1360856294631958
77,0.9381107687950134,0.20105193555355072
78,0.9413681030273438,0.11712823063135147
79,0.9446253776550293,0.13796813786029816
80,0.9609120488166809,0.10506107658147812
81,0.9478827118873596,0.13138075172901154
82,0.9527687430381775,0.12860704958438873
83,0.9495114088058472,0.14364902675151825
84,0.965798020362854,0.10071884095668793
85,0.9381107687950134,0.15525652468204498
86,0.9706840515136719,0.08960860967636108
87,0.9592834115028381,0.14046698808670044
88,0.9446253776550293,0.14057694375514984
89,0.9478827118873596,0.1421644389629364
90,0.965798020362854,0.10181160271167755
91,0.9429967403411865,0.14061366021633148
92,0.9560260772705078,0.14095596969127655
93,0.9462540745735168,0.13152538239955902
94,0.9674267172813416,0.08684780448675156
95,0.9397394061088562,0.15831732749938965
96,0.9511400461196899,0.11847741156816483
97,0.9609120488166809,0.15085381269454956
98,0.9543973803520203,0.10055632144212723
99,0.9576547145843506,0.12230890244245529
100,0.9706840515136719,0.0877068042755127
101,0.9543973803520203,0.11734272539615631
102,0.9495114088058472,0.14263096451759338
103,0.9478827118873596,0.17494934797286987
104,0.9690553545951843,0.11173447221517563
105,0.9723126888275146,0.1115947961807251
106,0.9527687430381775,0.1217656210064888
107,0.9592834115028381,0.11330130696296692
108,0.9674267172813416,0.1098518967628479
109,0.9592834115028381,0.10637269914150238
110,0.9625407457351685,0.10769487917423248
111,0.9576547145843506,0.09774424880743027
112,0.9543973803520203,0.12525352835655212
113,0.9706840515136719,0.0951438769698143
114,0.9674267172813416,0.09463229030370712
115,0.9576547145843506,0.12942111492156982
116,0.9592834115028381,0.14383240044116974
117,0.965798020362854,0.0817592665553093
118,0.9690553545951843,0.10288023203611374
119,0.9511400461196899,0.14248226583003998
120,0.9543973803520203,0.14188335835933685
121,0.9625407457351685,0.09318158030509949
122,0.9527687430381775,0.1235411986708641
123,0.9674267172813416,0.09427160024642944
124,0.9560260772705078,0.09898867458105087
125,0.9690553545951843,0.0939481258392334
126,0.9609120488166809,0.09747130423784256
127,0.9478827118873596,0.1770956963300705
128,0.9739413857460022,0.08194208890199661
129,0.9674267172813416,0.1030617281794548
130,0.9625407457351685,0.10903238505125046
131,0.9543973803520203,0.1404695212841034
132,0.9690553545951843,0.10341915488243103
133,0.9674267172813416,0.07617025822401047
134,0.9674267172813416,0.10689064115285873
135,0.9609120488166809,0.10152263194322586
136,0.9674267172813416,0.08095825463533401
137,0.9625407457351685,0.14365287125110626
